policy_number,claim_date,claim_amount
22130,10/13/2017,684106.2952
6295,10/26/2017,657206.4528
15761,10/17/2017,646899.5907
6681,10/31/2017,640387.6888
20058,10/22/2017,638979.2506
4500,10/22/2017,631610.9371
25377,10/10/2017,610222.3847
18277,10/27/2017,609857.379
3944,10/14/2017,609268.1195
10310,10/30/2017,608613.8702
20984,10/29/2017,604755.8222
29842,10/17/2017,602182.3791
3383,10/11/2017,601183.2954
8184,10/22/2017,599224.5946
7390,10/15/2017,594222.1208
2755,10/20/2017,578800.2751
3900,10/16/2017,577912.7376
18661,10/21/2017,577329.6259
29405,10/14/2017,574902.8235
27352,10/10/2017,569976.0991
19759,10/20/2017,555806.8467
21490,10/25/2017,555666.8107
10318,10/14/2017,552415.0873
9271,10/20/2017,550581.6236
6175,10/13/2017,549212.2462
19202,10/24/2017,548008.1021
17898,10/13/2017,547094.1232
6658,10/28/2017,540801.8938
21946,10/16/2017,540223.8042
4076,10/25/2017,538803.2581
6154,10/26/2017,538686.8378
18894,10/21/2017,535458.8654
1841,10/28/2017,534433.1251
25340,10/27/2017,532708.9706
11421,10/10/2017,532099.4756
7070,10/12/2017,531758.4024
20968,10/11/2017,530659.0133
28037,10/24/2017,528718.843
18162,10/17/2017,528002.1369
9255,10/26/2017,525893.9289
2863,10/22/2017,525105.9737
9360,10/17/2017,524634.5188
12954,10/20/2017,524439.5589
25816,10/19/2017,524014.6937
21433,10/22/2017,523023.1336
16421,10/19/2017,521760.4241
19392,10/21/2017,521139.6171
9986,10/19/2017,518783.5266
12393,10/21/2017,518329.2687
16999,10/14/2017,518004.2583
5964,10/19/2017,517380.8345
24951,10/27/2017,515865.6769
19823,10/16/2017,515356.5616
7900,10/20/2017,514475.2219
24893,10/25/2017,513746.172
13084,10/30/2017,513722.1116
20798,10/28/2017,510286.5757
13721,10/13/2017,510059.7077
22257,10/27/2017,509619.2692
22900,10/19/2017,509597.5021
29231,10/13/2017,506906.9393
10565,10/26/2017,505818.374
10986,10/23/2017,503946.7379
383,10/16/2017,503719.9196
13949,10/21/2017,503474.2876
12192,10/30/2017,502386.7242
26514,10/25/2017,502310.3819
3823,10/21/2017,501778.256
5032,10/13/2017,501589.7055
7209,10/14/2017,497657.2151
25856,10/31/2017,495867.7058
16463,10/17/2017,495866.0824
26824,10/29/2017,494922.431
27106,10/23/2017,493373.7144
5685,10/31/2017,492188.76
7187,10/11/2017,491807.221
26583,10/12/2017,491229.1374
12561,10/30/2017,491159.2196
6035,10/12/2017,490849.27
