policy_number,agency,county,construction_type,roof_type,construction_year,square_footage,public_protection_class,house_value, claim_amounts 
1,G,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,Between 1500 and 3000,1,$800K to $1.2M,
2,C,Santa Clara,Fire Resistive,Metal,2000 and After,Below 1500,5,$1.2M to $1.6M,
3,E,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,10,Less than $400K," $59,638.67 "
4,C,Contra Costa,Frame,Metal,2000 and After,Between 3000 and 4000,8,$800K to $1.2M," $122,051.14 "
5,J,Alameda,Non-Combustible Masonry,Tile,2000 and After,Between 1500 and 3000,10,$1.6M to $2M,
6,G,Alameda,Non-Combustible Masonry,Tile,1986 to 1999,4000 and Above,7,Less than $400K," $59,432.87 "
7,B,Contra Costa,Non-Combustible Masonry,Metal,1985 and Before,4000 and Above,5,$1.6M to $2M,
8,E,San Francisco,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,2,$1.2M to $1.6M," $127,213.38 "
9,B,Contra Costa,Fire Resistive,Tile,1985 and Before,Below 1500,5,Less than $400K,
10,E,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,Between 3000 and 4000,2,$1.6M to $2M,
11,E,San Mateo,Frame,Shingle,1985 and Before,Between 1500 and 3000,9,Less than $400K," $50,523.10 "
12,B,San Mateo,Frame,Wood,1985 and Before,Below 1500,1,Less than $400K,
13,A,San Francisco,Fire Resistive,Wood,1986 to 1999,4000 and Above,5,Less than $400K,
14,B,San Francisco,Fire Resistive,Tile,1986 to 1999,Between 1500 and 3000,1,Less than $400K," $51,384.01 "
15,D,Solano,Fire Resistive,Wood,1985 and Before,Below 1500,5,$400K to $800K,
16,J,San Francisco,Non-Combustible Masonry,Shingle,2000 and After,Below 1500,9,$1.6M to $2M,
17,F,Alameda,Frame,Tile,2000 and After,Between 3000 and 4000,2,$1.6M to $2M,
18,H,Contra Costa,Non-Combustible Masonry,Tile,2000 and After,Between 1500 and 3000,7,$1.2M to $1.6M,
19,C,Sonoma,Non-Combustible Masonry,Wood,1986 to 1999,Between 3000 and 4000,7,$400K to $800K," $281,229.74 "
20,C,Contra Costa,Fire Resistive,Metal,1985 and Before,Below 1500,10,Less than $400K,
21,E,San Mateo,Non-Combustible Masonry,Tile,2000 and After,Below 1500,6,$1.6M to $2M,
22,G,San Francisco,Fire Resistive,Shingle,2000 and After,Between 3000 and 4000,4,$1.2M to $1.6M," $132,136.59 "
23,B,Sonoma,Non-Combustible Masonry,Shingle,1986 to 1999,Between 1500 and 3000,1,$800K to $1.2M,
24,G,Contra Costa,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,7,$400K to $800K,
25,H,Contra Costa,Non-Combustible Masonry,Metal,1986 to 1999,Between 1500 and 3000,5,$1.2M to $1.6M,
26,J,Solano,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,9,$1.6M to $2M,
27,B,Santa Clara,Fire Resistive,Metal,2000 and After,Between 3000 and 4000,6,$400K to $800K," $83,800.39 "
28,I,Contra Costa,Frame,Shingle,1986 to 1999,4000 and Above,5,Less than $400K,
29,J,Solano,Frame,Metal,2000 and After,Between 3000 and 4000,6,$800K to $1.2M,
30,J,Contra Costa,Fire Resistive,Wood,1985 and Before,Between 3000 and 4000,10,$1.6M to $2M," $141,971.20 "
31,C,Alameda,Fire Resistive,Shingle,1985 and Before,4000 and Above,1,$800K to $1.2M," $165,202.07 "
32,D,Contra Costa,Fire Resistive,Shingle,1986 to 1999,4000 and Above,6,$1.2M to $1.6M,
33,D,San Francisco,Non-Combustible Masonry,Metal,2000 and After,Below 1500,4,Less than $400K,
34,D,Santa Clara,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,4,Less than $400K," $72,503.16 "
35,H,Alameda,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,10,Less than $400K," $54,483.90 "
36,I,Alameda,Frame,Wood,1985 and Before,4000 and Above,10,$1.2M to $1.6M," $201,329.26 "
37,G,Santa Clara,Frame,Metal,2000 and After,Between 3000 and 4000,5,$400K to $800K,
38,D,Santa Clara,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,4,$1.2M to $1.6M,
39,F,San Francisco,Frame,Tile,2000 and After,Below 1500,6,Less than $400K,
40,A,Santa Clara,Fire Resistive,Wood,1986 to 1999,Below 1500,6,$800K to $1.2M,
41,H,San Mateo,Fire Resistive,Wood,1985 and Before,4000 and Above,4,$1.6M to $2M," $162,440.09 "
42,C,Santa Clara,Fire Resistive,Wood,2000 and After,Below 1500,10,$800K to $1.2M,
43,F,Contra Costa,Non-Combustible Masonry,Tile,1986 to 1999,4000 and Above,2,$800K to $1.2M,
44,E,Santa Clara,Frame,Shingle,2000 and After,Below 1500,8,$1.2M to $1.6M," $145,801.39 "
45,J,Contra Costa,Fire Resistive,Metal,1985 and Before,Below 1500,8,$1.6M to $2M,
46,E,Contra Costa,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,5,$800K to $1.2M,
47,E,Alameda,Fire Resistive,Metal,1986 to 1999,Below 1500,7,$400K to $800K,
48,E,Contra Costa,Non-Combustible Masonry,Metal,1986 to 1999,Between 3000 and 4000,2,$1.2M to $1.6M,
49,I,Alameda,Fire Resistive,Tile,1985 and Before,4000 and Above,5,$1.2M to $1.6M," $208,201.95 "
50,J,San Francisco,Frame,Wood,2000 and After,Between 3000 and 4000,2,$800K to $1.2M,
51,B,Santa Clara,Non-Combustible Masonry,Shingle,2000 and After,Between 3000 and 4000,3,$800K to $1.2M,
52,F,Sonoma,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,4,Less than $400K," $45,272.28 "
53,F,Alameda,Frame,Tile,2000 and After,Below 1500,5,$400K to $800K,
54,J,Marin,Fire Resistive,Wood,1985 and Before,Between 3000 and 4000,5,$800K to $1.2M," $111,495.79 "
55,D,Contra Costa,Frame,Wood,2000 and After,Below 1500,9,$800K to $1.2M,
56,H,Sonoma,Frame,Tile,1986 to 1999,Below 1500,1,$1.2M to $1.6M," $174,389.11 "
57,C,Solano,Frame,Metal,1985 and Before,4000 and Above,9,$1.2M to $1.6M,
58,F,Alameda,Fire Resistive,Shingle,1985 and Before,4000 and Above,5,$400K to $800K," $108,716.06 "
59,A,Contra Costa,Frame,Metal,1985 and Before,Between 3000 and 4000,1,$1.6M to $2M,
60,C,Alameda,Fire Resistive,Tile,1986 to 1999,4000 and Above,1,Less than $400K,
61,D,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,8,$800K to $1.2M,
62,J,San Francisco,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,9,Less than $400K,
63,E,Alameda,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,6,$400K to $800K," $130,492.23 "
64,C,Santa Clara,Fire Resistive,Metal,2000 and After,Between 1500 and 3000,9,$800K to $1.2M,
65,B,Santa Clara,Fire Resistive,Tile,1985 and Before,4000 and Above,3,$1.2M to $1.6M,
66,B,Santa Clara,Fire Resistive,Metal,2000 and After,Between 1500 and 3000,3,Less than $400K,
67,A,San Mateo,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,10,$800K to $1.2M,
68,J,San Francisco,Non-Combustible Masonry,Tile,1986 to 1999,4000 and Above,4,$800K to $1.2M,
